iter	MultiClass
0	0.9474975079
1	0.7851946203
2	0.677209409
3	0.5729206798
4	0.4985691465
5	0.4283756126
6	0.3906750475
7	0.3559470972
8	0.3181605359
9	0.2963177808
10	0.2738930618
11	0.2574407967
12	0.2427343402
13	0.2296165862
14	0.2127309814
15	0.2026546922
16	0.1935107211
17	0.1844858143
18	0.1798731298
19	0.1705076549
20	0.1614625619
21	0.1538082432
22	0.148416091
23	0.144011424
24	0.1386494726
25	0.1333025877
26	0.1276616039
27	0.1243774357
28	0.1210192797
29	0.1174779251
30	0.1136740552
31	0.1097351112
32	0.1060079899
33	0.1030768201
34	0.1012490924
35	0.09883924102
36	0.09700783176
37	0.09330193653
38	0.09073081113
39	0.08820408084
40	0.08551384602
41	0.08311577638
42	0.08063405044
43	0.07920528295
44	0.07783694964
45	0.07608370773
46	0.07457707532
47	0.07181785811
48	0.07029449336
49	0.06938547266
50	0.06812463613
51	0.06742701795
52	0.06468760906
53	0.06310094038
54	0.06211697735
55	0.06083192609
56	0.0593101566
57	0.0585024961
58	0.05771736084
59	0.05615295967
60	0.05484739287
61	0.0539662854
62	0.05309601378
63	0.05209618562
64	0.05122350268
65	0.05027069022
66	0.04940506377
67	0.04808452956
68	0.04732432294
69	0.04656296127
70	0.04604380426
71	0.04547437884
72	0.04481352337
73	0.0443142926
74	0.04365093592
75	0.04258224047
76	0.04216249438
77	0.04163626029
78	0.0411468551
79	0.04067570143
80	0.03926653708
81	0.03890486321
82	0.03829761316
83	0.03784353148
84	0.03751330102
85	0.03711670193
86	0.03666932027
87	0.03625999972
88	0.03587685961
89	0.03565296123
90	0.03464464496
91	0.03385911929
92	0.0335632571
93	0.03281628351
94	0.03226331712
95	0.03185227376
96	0.03156621218
97	0.03127238773
98	0.0309607773
99	0.03068844047
100	0.03038899997
101	0.03012449188
102	0.02962359162
103	0.02922496014
104	0.02900580439
105	0.02876923072
106	0.02852302091
107	0.02826450079
108	0.0280554738
109	0.02781553753
110	0.02747985302
111	0.02729016098
112	0.02689524804
113	0.02650610601
114	0.02631168533
115	0.02609811606
116	0.02587969386
117	0.02537330555
118	0.02512138184
119	0.0249600192
120	0.02473380516
121	0.0246394271
122	0.02445755819
123	0.02428194185
124	0.02409176055
125	0.02386725267
126	0.0236715318
127	0.02354259926
128	0.02336670988
129	0.02324616445
130	0.02308010834
131	0.02294660075
132	0.02254384433
133	0.02244147938
134	0.0221579232
135	0.02197089042
136	0.02181706797
137	0.02166493326
138	0.02142908559
139	0.02127656143
140	0.02116789346
141	0.02100889867
142	0.02076099955
143	0.02047799637
144	0.02036330153
145	0.02012141541
146	0.02001200214
147	0.01994270217
148	0.01978011672
149	0.01956399997
150	0.01928420855
151	0.01918820044
152	0.01900765853
153	0.01887613356
154	0.01875355161
155	0.01866439821
156	0.01852520052
157	0.01844562252
158	0.01818139745
159	0.01808860866
160	0.01797646298
161	0.01774135362
162	0.01765172823
163	0.01755863113
164	0.01747744574
165	0.01712586269
166	0.0168679155
167	0.01661103743
168	0.01652857432
169	0.0164162246
170	0.01630057365
171	0.0162203112
172	0.01606015359
173	0.01592326811
174	0.01582503818
175	0.01570557577
176	0.01563168315
177	0.0155453504
178	0.01532013972
179	0.01526218971
180	0.01515920103
181	0.01499563014
182	0.01491607436
183	0.01479261802
184	0.01472748751
185	0.01463628059
186	0.01456913325
187	0.01449202975
188	0.01443862168
189	0.01435710236
190	0.01421381382
191	0.01413988645
192	0.0140482256
193	0.01397523039
194	0.01391065822
195	0.01373706825
196	0.01366175556
197	0.01353890816
198	0.01350387064
199	0.01345123792
200	0.01335354715
201	0.01318830353
202	0.01311641278
203	0.01308678457
204	0.01297372296
205	0.01292247889
206	0.01285537398
207	0.01278236899
208	0.01269886023
209	0.01263199829
210	0.0125491748
211	0.01249410221
212	0.01244702682
213	0.01240658188
214	0.01236058558
215	0.01229719947
216	0.0122490681
217	0.01222248071
218	0.01217131218
219	0.01213242734
220	0.01198059405
221	0.01193818036
222	0.01183742234
223	0.01177532106
224	0.01175035868
225	0.01170798736
226	0.01168388985
227	0.01161176393
228	0.0114732723
229	0.01145021105
230	0.01140119688
231	0.01136439942
232	0.01130485061
233	0.01126219363
234	0.01122179966
235	0.01117763099
236	0.01115114112
237	0.01108267183
238	0.01103808837
239	0.01093897197
240	0.01087233572
241	0.01081372149
242	0.01066415627
243	0.01062177459
244	0.01053375167
245	0.01048382223
246	0.01045614612
247	0.01040357681
248	0.0103344038
249	0.01029483034
250	0.0102536875
251	0.0101886651
252	0.01016296587
253	0.01008492965
254	0.01003315523
255	0.009925334323
